Gene	GeneSymbol	Chr	start	end	band	cytoband	isCentromer	Position	new_positions
C1QTNF12	C1QTNF12	1	1242446	1246722	p36.33	1p	no	1244584	56
UBE2J2	UBE2J2	1	1253909	1273864	p36.33	1p	no	1263886.5	57
LINC01786	LINC01786	1	1275223	1280420	p36.33	1p	no	1277821.5	58
SCNN1D	SCNN1D	1	1280436	1292029	p36.33	1p	no	1286232.5	59
ACAP3	ACAP3	1	1292390	1309609	p36.33	1p	no	1300999.5	60
MIR6726	MIR6726	1	1296110	1296170	p36.33	1p	no	1296140	61
PUSL1	PUSL1	1	1308597	1311677	p36.33	1p	no	1310137	62
INTS11	INTS11	1	1311585	1324687	p36.33	1p	no	1318136	63
MIR6727	MIR6727	1	1312502	1312566	p36.33	1p	no	1312534	64
CPTP	CPTP	1	1324756	1328896	p36.33	1p	no	1326826	65
TAS1R3	TAS1R3	1	1331280	1335314	p36.33	1p	no	1333297	66
DVL1	DVL1	1	1335276	1349418	p36.33	1p	no	1342347	67
MIR6808	MIR6808	1	1339650	1339708	p36.33	1p	no	1339679	68
MXRA8	MXRA8	1	1352689	1361777	p36.33	1p	no	1357233	69
AURKAIP1	AURKAIP1	1	1373730	1375207	p36.33	1p	no	1374468.5	70
NDUFB4P8	NDUFB4P8	1	1378666	1379032	p36.33	1p	no	1378849	71
CCNL2	CCNL2	1	1385711	1399335	p36.33	1p	no	1392523	72
MRPL20-AS1	MRPL20-AS1	1	1399515	1402046	p36.33	1p	no	1400780.5	73
MRPL20	MRPL20	1	1401909	1407293	p36.33	1p	no	1404601	74
RN7SL657P	RN7SL657P	1	1405460	1405752	p36.33	1p	no	1405606	75
MRPL20-DT	MRPL20-DT	1	1409096	1410618	p36.33	1p	no	1409857	76
ANKRD65	ANKRD65	1	1418420	1421769	p36.33	1p	no	1420094.5	77
TMEM88B	TMEM88B	1	1425871	1430255	p36.33	1p	no	1428063	78
LINC01770	LINC01770	1	1430539	1434573	p36.33	1p	no	1432556	79
VWA1	VWA1	1	1434861	1442882	p36.33	1p	no	1438871.5	80
ATAD3C	ATAD3C	1	1449689	1470163	p36.33	1p	no	1459926	81
ATAD3B	ATAD3B	1	1471765	1497848	p36.33	1p	no	1484806.5	82
ATAD3A	ATAD3A	1	1512162	1534685	p36.33	1p	no	1523423.5	83
TMEM240	TMEM240	1	1534778	1540624	p36.33	1p	no	1537701	84
SSU72	SSU72	1	1541673	1574863	p36.33	1p	no	1558268	85
FNDC10	FNDC10	1	1598012	1600135	p36.33	1p	no	1599073.5	86
MIB2	MIB2	1	1615454	1630605	p36.33	1p	no	1623029.5	87
MMP23B	MMP23B	1	1632163	1635263	p36.33	1p	no	1633713	88
CDK11B	CDK11B	1	1635225	1659012	p36.33	1p	no	1647118.5	89
SLC35E2B	SLC35E2B	1	1659529	1692795	p36.33	1p	no	1676162	90
MMP23A	MMP23A	1	1699942	1701782	p36.33	1p	no	1700862	91
CDK11A	CDK11A	1	1702379	1724357	p36.33	1p	no	1713368	92
SLC35E2A	SLC35E2A	1	1724838	1745992	p36.33	1p	no	1735415	93
NADK	NADK	1	1751232	1780457	p36.33	1p	no	1765844.5	94
GNB1	GNB1	1	1785285	1891117	p36.33	1p	no	1838201	95
CALML6	CALML6	1	1915108	1917296	p36.33	1p	no	1916202	96
TMEM52	TMEM52	1	1917590	1919279	p36.33	1p	no	1918434.5	97
CFAP74	CFAP74	1	1921951	2003837	p36.33	1p	no	1962894	98
GABRD	GABRD	1	2019329	2030758	p36.33	1p	no	2025043.5	99
PRKCZ	PRKCZ	1	2050411	2185395	p36.33	1p	no	2117903	100
PRKCZ-AS1	PRKCZ-AS1	1	2181794	2184389	p36.33	1p	no	2183091.5	101
FAAP20	FAAP20	1	2184461	2212720	p36.33	1p	no	2198590.5	102
SKI	SKI	1	2228319	2310213	p36.33	1p	no	2269266	103
MORN1	MORN1	1	2321253	2391707	p36.32	1p	no	2356480	104
RER1	RER1	1	2391775	2405442	p36.32	1p	no	2398608.5	105
PEX10	PEX10	1	2403964	2413797	p36.32	1p	no	2408880.5	106
ACTRT2	ACTRT2	1	3021467	3022903	p36.32	1p	no	3022185	107
PRDM16-DT	PRDM16-DT	1	3059611	3069088	p36.32	1p	no	3064349.5	108
PRDM16	PRDM16	1	3069168	3438621	p36.32	1p	no	3253894.5	109
MIR4251	MIR4251	1	3127975	3128035	p36.32	1p	no	3128005	110
ARHGEF16	ARHGEF16	1	3454665	3481113	p36.32	1p	no	3467889	111
MEGF6	MEGF6	1	3487951	3611508	p36.32	1p	no	3549729.5	112
MIR551A	MIR551A	1	3560695	3560790	p36.32	1p	no	3560742.5	113
TPRG1L	TPRG1L	1	3625015	3630127	p36.32	1p	no	3627571	114
WRAP73	WRAP73	1	3630767	3652761	p36.32	1p	no	3641764	115
TP73	TP73	1	3652516	3736201	p36.32	1p	no	3694358.5	116
TP73-AS3	TP73-AS3	1	3658938	3668772	p36.32	1p	no	3663855	117
TP73-AS2	TP73-AS2	1	3712200	3714298	p36.32	1p	no	3713249	118
TP73-AS1	TP73-AS1	1	3735511	3747373	p36.32	1p	no	3741442	119
CCDC27	CCDC27	1	3746460	3771645	p36.32	1p	no	3759052.5	120
SMIM1	SMIM1	1	3772749	3775982	p36.32	1p	no	3774365.5	121
LRRC47	LRRC47	1	3778559	3796498	p36.32	1p	no	3787528.5	122
RN7SL574P	RN7SL574P	1	3782815	3783111	p36.32	1p	no	3782963	123
CEP104	CEP104	1	3812086	3857396	p36.32	1p	no	3834741	124
DFFB	DFFB	1	3857267	3885429	p36.32	1p	no	3871348	125
C1orf174	C1orf174	1	3889125	3900293	p36.32	1p	no	3894709	126
LINC01134	LINC01134	1	3900352	3917225	p36.32	1p	no	3908788.5	127
LINC01346	LINC01346	1	3940486	3955262	p36.32	1p	no	3947874	128
LINC01345	LINC01345	1	3944547	3949024	p36.32	1p	no	3946785.5	129
LINC02780	LINC02780	1	3976133	4012704	p36.32	1p	no	3994418.5	130
EEF1DP6	EEF1DP6	1	4175528	4175899	p36.32	1p	no	4175713.5	131
LINC01777	LINC01777	1	4412027	4424689	p36.32	1p	no	4418358	132
LINC01646	LINC01646	1	4571481	4594016	p36.32	1p	no	4582748.5	133
AJAP1	AJAP1	1	4654609	4792534	p36.32	1p	no	4723571.5	134
LINC02781	LINC02781	1	4973381	4981568	p36.32	1p	no	4977474.5	135
LINC02782	LINC02782	1	5086459	5090899	p36.32	1p	no	5088679	136
MIR4689	MIR4689	1	5862672	5862741	p36.31	1p	no	5862706.5	137
NPHP4	NPHP4	1	5862811	5992473	p36.31	1p	no	5927642	138
KCNAB2	KCNAB2	1	5990927	6101193	p36.31	1p	no	6046060	139
CHD5	CHD5	1	6101787	6180321	p36.31	1p	no	6141054	140
RPL22	RPL22	1	6185020	6209389	p36.31	1p	no	6197204.5	141
RNF207-AS1	RNF207-AS1	1	6204840	6205780	p36.31	1p	no	6205310	142
RNF207	RNF207	1	6205475	6221299	p36.31	1p	no	6213387	143
ICMT	ICMT	1	6221193	6235972	p36.31	1p	no	6228582.5	144
LINC00337	LINC00337	1	6234692	6239444	p36.31	1p	no	6237068	145
HES3	HES3	1	6244179	6245578	p36.31	1p	no	6244878.5	146
GPR153	GPR153	1	6247353	6261098	p36.31	1p	no	6254225.5	147
ACOT7	ACOT7	1	6264269	6393767	p36.31	1p	no	6329018	148
HES2	HES2	1	6412418	6424670	p36.31	1p	no	6418544	149
ESPN	ESPN	1	6424776	6461367	p36.31	1p	no	6443071.5	150
MIR4252	MIR4252	1	6429834	6429896	p36.31	1p	no	6429865	151
TNFRSF25	TNFRSF25	1	6460786	6466175	p36.31	1p	no	6463480.5	152
PLEKHG5	PLEKHG5	1	6467122	6520074	p36.31	1p	no	6493598	153
NOL9	NOL9	1	6521347	6554513	p36.31	1p	no	6537930	154
RNU6-731P	RNU6-731P	1	6540854	6540964	p36.31	1p	no	6540909	155
TAS1R1	TAS1R1	1	6555307	6579755	p36.31	1p	no	6567531	156
ZBTB48	ZBTB48	1	6579994	6589280	p36.31	1p	no	6584637	157
KLHL21	KLHL21	1	6590724	6614607	p36.31	1p	no	6602665.5	158
PHF13	PHF13	1	6613731	6624030	p36.31	1p	no	6618880.5	159
THAP3	THAP3	1	6624868	6635586	p36.31	1p	no	6630227	160
DNAJC11	DNAJC11	1	6634168	6701924	p36.31	1p	no	6668046	161
LINC01672	LINC01672	1	6724637	6730012	p36.31	1p	no	6727324.5	162
CAMTA1-DT	CAMTA1-DT	1	6783892	6784843	p36.31	1p	no	6784367.5	163
CAMTA1	CAMTA1	1	6785454	7769706	p36.31	1p	no	7277580	164
RNU1-8P	RNU1-8P	1	7219360	7219524	p36.23	1p	no	7219442	165
CAMTA1-IT1	CAMTA1-IT1	1	7368942	7370270	p36.23	1p	no	7369606	166
CAMTA1-AS2	CAMTA1-AS2	1	7382487	7389754	p36.23	1p	no	7386120.5	167
CAMTA1-AS1	CAMTA1-AS1	1	7441096	7441554	p36.23	1p	no	7441325	168
VAMP3	VAMP3	1	7771296	7781432	p36.23	1p	no	7776364	169
PER3	PER3	1	7784291	7845177	p36.23	1p	no	7814734	170
UTS2	UTS2	1	7843083	7853512	p36.23	1p	no	7848297.5	171
TNFRSF9	TNFRSF9	1	7915871	7943165	p36.23	1p	no	7929518	172
PARK7	PARK7	1	7954291	7985505	p36.23	1p	no	7969898	173
ERRFI1	ERRFI1	1	8004404	8026309	p36.23	1p	no	8015356.5	174
LINC01714	LINC01714	1	8201518	8215210	p36.23	1p	no	8208364	175
RNU1-7P	RNU1-7P	1	8206434	8206597	p36.23	1p	no	8206515.5	176
RNU6-991P	RNU6-991P	1	8292157	8292263	p36.23	1p	no	8292210	177
SLC45A1	SLC45A1	1	8318114	8344167	p36.23	1p	no	8331140.5	178
RERE	RERE	1	8352397	8848921	p36.23	1p	no	8600659	179
RERE-AS1	RERE-AS1	1	8424645	8435013	p36.23	1p	no	8429829	180
RPL7P11	RPL7P11	1	8750430	8751087	p36.23	1p	no	8750758.5	181
RPL7P7	RPL7P7	1	8786211	8786913	p36.23	1p	no	8786562	182
RPL23AP19	RPL23AP19	1	8831007	8831375	p36.23	1p	no	8831191	183
ENO1	ENO1	1	8861000	8879190	p36.23	1p	no	8870095	184
MIR6728	MIR6728	1	8866502	8866590	p36.23	1p	no	8866546	185
ENO1-AS1	ENO1-AS1	1	8878835	8879894	p36.23	1p	no	8879364.5	186
RNU6-304P	RNU6-304P	1	8883427	8883533	p36.23	1p	no	8883480	187
HMGN2P17	HMGN2P17	1	8893409	8894151	p36.23	1p	no	8893780	188
CA6	CA6	1	8945867	8975092	p36.23	1p	no	8960479.5	189
RN7SL451P	RN7SL451P	1	8979576	8979874	p36.23	1p	no	8979725	190
SLC2A7	SLC2A7	1	9002973	9026423	p36.23	1p	no	9014698	191
SLC2A5	SLC2A5	1	9035106	9088478	p36.23	1p	no	9061792	192
GPR157	GPR157	1	9100305	9129102	p36.22	1p	no	9114703.5	193
MIR34AHG	MIR34AHG	1	9148011	9198906	p36.22	1p	no	9173458.5	194
MIR34A	MIR34A	1	9151668	9151777	p36.22	1p	no	9151722.5	195
LNCTAM34A	LNCTAM34A	1	9182004	9196284	p36.22	1p	no	9189144	196
H6PD	H6PD	1	9234774	9271337	p36.22	1p	no	9253055.5	197
SPSB1	SPSB1	1	9292894	9369532	p36.22	1p	no	9331213	198
LINC02606	LINC02606	1	9425094	9440564	p36.22	1p	no	9432829	199
RNA5SP40	RNA5SP40	1	9437669	9437778	p36.22	1p	no	9437723.5	200
SLC25A33	SLC25A33	1	9539465	9585173	p36.22	1p	no	9562319	201
TMEM201	TMEM201	1	9588911	9614877	p36.22	1p	no	9601894	202
PIK3CD	PIK3CD	1	9651731	9729114	p36.22	1p	no	9690422.5	203
PIK3CD-AS1	PIK3CD-AS1	1	9652610	9654586	p36.22	1p	no	9653598	204
PIK3CD-AS2	PIK3CD-AS2	1	9672405	9687573	p36.22	1p	no	9679989	205
CLSTN1	CLSTN1	1	9728926	9823984	p36.22	1p	no	9776455	206
MZT1P1	MZT1P1	1	9780822	9781240	p36.22	1p	no	9781031	207
CTNNBIP1	CTNNBIP1	1	9848276	9910336	p36.22	1p	no	9879306	208
LZIC	LZIC	1	9922113	9943407	p36.22	1p	no	9932760	209
NMNAT1	NMNAT1	1	9943428	9985501	p36.22	1p	no	9964464.5	210
RN7SKP269	RN7SKP269	1	9947318	9947636	p36.22	1p	no	9947477	211
TMEM274P	TMEM274P	1	9950572	9960787	p36.22	1p	no	9955679.5	212
MIR5697	MIR5697	1	9967381	9967458	p36.22	1p	no	9967419.5	213
RBP7	RBP7	1	9997206	10016021	p36.22	1p	no	10006613.5	214
UBE4B	UBE4B	1	10032832	10181239	p36.22	1p	no	10107035.5	215
PGAM1P11	PGAM1P11	1	10058671	10059648	p36.22	1p	no	10059159.5	216
RNU6-828P	RNU6-828P	1	10163268	10163374	p36.22	1p	no	10163321	217
KIF1B	KIF1B	1	10210570	10381603	p36.22	1p	no	10296086.5	218
RNU6-37P	RNU6-37P	1	10298966	10299072	p36.22	1p	no	10299019	219
RN7SL731P	RN7SL731P	1	10306465	10306757	p36.22	1p	no	10306611	220
PGD	PGD	1	10398592	10420511	p36.22	1p	no	10409551.5	221
CENPS-CORT	CENPS-CORT	1	10430102	10452153	p36.22	1p	no	10441127.5	222
CENPS	CENPS	1	10430433	10442808	p36.22	1p	no	10436620.5	223
CORT	CORT	1	10450031	10451998	p36.22	1p	no	10451014.5	224
DFFA	DFFA	1	10456522	10472529	p36.22	1p	no	10464525.5	225
PEX14	PEX14	1	10472288	10630758	p36.22	1p	no	10551523	226
RN7SL614P	RN7SL614P	1	10616836	10617115	p36.22	1p	no	10616975.5	227
CASZ1	CASZ1	1	10636604	10796650	p36.22	1p	no	10716627	228
HSPE1P24	HSPE1P24	1	10895761	10895998	p36.22	1p	no	10895879.5	229
C1orf127	C1orf127	1	10946471	10982037	p36.22	1p	no	10964254	230
CFL1P6	CFL1P6	1	10990978	10991797	p36.22	1p	no	10991387.5	231
TARDBP	TARDBP	1	11012344	11030528	p36.22	1p	no	11021436	232
MASP2	MASP2	1	11026523	11047239	p36.22	1p	no	11036881	233
SRM	SRM	1	11054584	11060020	p36.22	1p	no	11057302	234
EXOSC10	EXOSC10	1	11066618	11099869	p36.22	1p	no	11083243.5	235
EXOSC10-AS1	EXOSC10-AS1	1	11099430	11102100	p36.22	1p	no	11100765	236
MTOR	MTOR	1	11106535	11262551	p36.22	1p	no	11184543	237
MTOR-AS1	MTOR-AS1	1	11143898	11149537	p36.22	1p	no	11146717.5	238
RNU6-537P	RNU6-537P	1	11152350	11152452	p36.22	1p	no	11152401	239
ANGPTL7	ANGPTL7	1	11189355	11195981	p36.22	1p	no	11192668	240
RNU6-291P	RNU6-291P	1	11226254	11226360	p36.22	1p	no	11226307	241
RPL39P6	RPL39P6	1	11232963	11233112	p36.22	1p	no	11233037.5	242
UBIAD1	UBIAD1	1	11273198	11296049	p36.22	1p	no	11284623.5	243
UBE2V2P3	UBE2V2P3	1	11278616	11279351	p36.22	1p	no	11278983.5	244
MTCYBP45	MTCYBP45	1	11425257	11425821	p36.22	1p	no	11425539	245
DISP3	DISP3	1	11479155	11537551	p36.22	1p	no	11508353	246
LINC01647	LINC01647	1	11609468	11613358	p36.22	1p	no	11611413	247
FBXO2	FBXO2	1	11637018	11655785	p36.22	1p	no	11646401.5	248
FBXO44	FBXO44	1	11654375	11663327	p36.22	1p	no	11658851	249
FBXO6	FBXO6	1	11664200	11674354	p36.22	1p	no	11669277	250
MAD2L2	MAD2L2	1	11674480	11691650	p36.22	1p	no	11683065	251
DRAXIN	DRAXIN	1	11691710	11725857	p36.22	1p	no	11708783.5	252
AGTRAP	AGTRAP	1	11736084	11754802	p36.22	1p	no	11745443	253
C1orf167	C1orf167	1	11761787	11789585	p36.22	1p	no	11775686	254
C1orf167-AS1	C1orf167-AS1	1	11777077	11779619	p36.22	1p	no	11778348	255
MTHFR	MTHFR	1	11785723	11806455	p36.22	1p	no	11796089	256
CLCN6	CLCN6	1	11806096	11848079	p36.22	1p	no	11827087.5	257
NPPA	NPPA	1	11845709	11848345	p36.22	1p	no	11847027	258
NPPB	NPPB	1	11857464	11858945	p36.22	1p	no	11858204.5	259
SBF1P2	SBF1P2	1	11877770	11880406	p36.22	1p	no	11879088	260
RNU5E-1	RNU5E-1	1	11908152	11908271	p36.22	1p	no	11908211.5	261
RNU5E-4P	RNU5E-4P	1	11909808	11909927	p36.22	1p	no	11909867.5	262
KIAA2013	KIAA2013	1	11919591	11926428	p36.22	1p	no	11923009.5	263
PLOD1	PLOD1	1	11934205	11975538	p36.22	1p	no	11954871.5	264
MFN2	MFN2	1	11980181	12015211	p36.22	1p	no	11997696	265
MIIP	MIIP	1	12019466	12032045	p36.22	1p	no	12025755.5	266
MIR6729	MIR6729	1	12029158	12029222	p36.22	1p	no	12029190	267
RN7SL649P	RN7SL649P	1	12036740	12037014	p36.22	1p	no	12036877	268
TNFRSF8	TNFRSF8	1	12063303	12144207	p36.22	1p	no	12103755	269
RNU6-777P	RNU6-777P	1	12077881	12077984	p36.22	1p	no	12077932.5	270
RPL23AP89	RPL23AP89	1	12080293	12080547	p36.22	1p	no	12080420	271
MIR7846	MIR7846	1	12166943	12167038	p36.22	1p	no	12166990.5	272
TNFRSF1B	TNFRSF1B	1	12166991	12209228	p36.22	1p	no	12188109.5	273
MIR4632	MIR4632	1	12191713	12191773	p36.22	1p	no	12191743	274
RPL10P17	RPL10P17	1	12220794	12221109	p36.22	1p	no	12220951.5	275
VPS13D	VPS13D	1	12230030	12512047	p36.22	1p	no	12371038.5	276
SNORA59A	SNORA59A	1	12507246	12507397	p36.21	1p	no	12507321.5	277
LINC02766	LINC02766	1	12525738	12530462	p36.21	1p	no	12528100	278
DHRS3	DHRS3	1	12567910	12618210	p36.21	1p	no	12593060	279
RNU6ATAC18P	RNU6ATAC18P	1	12569972	12570072	p36.21	1p	no	12570022	280
MIR6730	MIR6730	1	12578957	12579023	p36.21	1p	no	12578990	281
AADACL4	AADACL4	1	12644085	12667076	p36.21	1p	no	12655580.5	282
AADACL3	AADACL3	1	12716110	12728760	p36.21	1p	no	12722435	283
C1orf158	C1orf158	1	12746200	12763699	p36.21	1p	no	12754949.5	284
PRAMEF12	PRAMEF12	1	12773738	12777906	p36.21	1p	no	12775822	285
PRAMEF1	PRAMEF1	1	12791397	12796628	p36.21	1p	no	12794012.5	286
PRAMEF15	PRAMEF15	1	13315581	13322598	p36.21	1p	no	13319089.5	287
PRAMEF14	PRAMEF14	1	13341892	13347134	p36.21	1p	no	13344513	288
PRAMEF19	PRAMEF19	1	13369067	13371900	p36.21	1p	no	13370483.5	289
PRAMEF17	PRAMEF17	1	13389632	13392629	p36.21	1p	no	13391130.5	290
PRAMEF20	PRAMEF20	1	13416351	13421328	p36.21	1p	no	13418839.5	291
LRRC38	LRRC38	1	13474973	13514003	p36.21	1p	no	13494488	292
BRWD1P1	BRWD1P1	1	13555001	13555694	p36.21	1p	no	13555347.5	293
PDPN	PDPN	1	13583465	13617957	p36.21	1p	no	13600711	294
RNA5SP41	RNA5SP41	1	13623184	13623284	p36.21	1p	no	13623234	295
PRDM2	PRDM2	1	13700188	13825079	p36.21	1p	no	13762633.5	296
KAZN	KAZN	1	13892792	15118043	p36.21	1p	no	14505417.5	297
RNU6-1265P	RNU6-1265P	1	14124233	14124335	p36.21	1p	no	14124284	298
KAZN-AS1	KAZN-AS1	1	14338825	14419973	p36.21	1p	no	14379399	299
TBCAP2	TBCAP2	1	14692129	14692613	p36.21	1p	no	14692371	300
TMEM51-AS1	TMEM51-AS1	1	15111815	15153618	p36.21	1p	no	15132716.5	301
TMEM51	TMEM51	1	15152532	15220478	p36.21	1p	no	15186505	302
MFFP1	MFFP1	1	15191828	15192845	p36.21	1p	no	15192336.5	303
ZBTB2P1	ZBTB2P1	1	15226373	15227549	p36.21	1p	no	15226961	304
FHAD1	FHAD1	1	15236521	15400283	p36.21	1p	no	15318402	305
FHAD1-AS1	FHAD1-AS1	1	15326680	15343876	p36.21	1p	no	15335278	306
EFHD2	EFHD2	1	15409888	15430339	p36.21	1p	no	15420113.5	307
CTRC	CTRC	1	15438442	15449242	p36.21	1p	no	15443842	308
CELA2A	CELA2A	1	15456728	15472091	p36.21	1p	no	15464409.5	309
CELA2B	CELA2B	1	15465909	15491395	p36.21	1p	no	15478652	310
CASP9	CASP9	1	15490832	15526534	p36.21	1p	no	15508683	311
DNAJC16	DNAJC16	1	15526813	15592379	p36.21	1p	no	15559596	312
SCARNA21B	SCARNA21B	1	15542165	15542304	p36.21	1p	no	15542234.5	313
AGMAT	AGMAT	1	15571699	15585051	p36.21	1p	no	15578375	314
CHCHD2P6	CHCHD2P6	1	15604597	15605043	p36.21	1p	no	15604820	315
RNU7-179P	RNU7-179P	1	15608078	15608145	p36.21	1p	no	15608111.5	316
CD24P1	CD24P1	1	15614643	15614867	p36.21	1p	no	15614755	317
DDI2	DDI2	1	15617458	15669044	p36.21	1p	no	15643251	318
RSC1A1	RSC1A1	1	15659713	15662033	p36.21	1p	no	15660873	319
PLEKHM2	PLEKHM2	1	15684320	15734769	p36.21	1p	no	15709544.5	320
SLC25A34	SLC25A34	1	15736258	15741392	p36.21	1p	no	15738825	321
SLC25A34-AS1	SLC25A34-AS1	1	15740048	15749896	p36.21	1p	no	15744972	322
TMEM82	TMEM82	1	15742499	15747982	p36.21	1p	no	15745240.5	323
FBLIM1	FBLIM1	1	15756607	15786594	p36.21	1p	no	15771600.5	324
RPL12P14	RPL12P14	1	15792796	15793285	p36.21	1p	no	15793040.5	325
UQCRHL	UQCRHL	1	15807169	15809348	p36.21	1p	no	15808258.5	326
SPEN	SPEN	1	15836095	15940456	p36.21	1p	no	15888275.5	327
ZBTB17	ZBTB17	1	15941869	15976132	p36.13	1p	no	15959000.5	328
TBC1D3P6	TBC1D3P6	1	15989871	15994751	p36.13	1p	no	15992311	329
SRARP	SRARP	1	16004236	16008807	p36.13	1p	no	16006521.5	330
HSPB7	HSPB7	1	16014028	16019594	p36.13	1p	no	16016811	331
CLCNKA	CLCNKA	1	16018875	16034050	p36.13	1p	no	16026462.5	332
CLCNKB	CLCNKB	1	16040252	16057311	p36.13	1p	no	16048781.5	333
FAM131C	FAM131C	1	16057769	16073651	p36.13	1p	no	16065710	334
EPHA2	EPHA2	1	16124337	16156069	p36.13	1p	no	16140203	335
ARHGEF19	ARHGEF19	1	16197854	16212652	p36.13	1p	no	16205253	336
ARHGEF19-AS1	ARHGEF19-AS1	1	16197854	16198357	p36.13	1p	no	16198105.5	337
ANO7L1	ANO7L1	1	16215907	16228027	p36.13	1p	no	16221967	338
CPLANE2	CPLANE2	1	16231692	16237183	p36.13	1p	no	16234437.5	339
MT1XP1	MT1XP1	1	16241213	16241398	p36.13	1p	no	16241305.5	340
FBXO42	FBXO42	1	16246840	16352480	p36.13	1p	no	16299660	341
SZRD1	SZRD1	1	16352575	16398145	p36.13	1p	no	16375360	342
RPL22P3	RPL22P3	1	16369150	16369530	p36.13	1p	no	16369340	343
SPATA21	SPATA21	1	16387117	16437424	p36.13	1p	no	16412270.5	344
NECAP2	NECAP2	1	16440721	16460078	p36.13	1p	no	16450399.5	345
LINC01772	LINC01772	1	16460948	16468481	p36.13	1p	no	16464714.5	346
CROCCP3	CROCCP3	1	16467436	16499257	p36.13	1p	no	16483346.5	347
RNU1-1	RNU1-1	1	16514122	16514285	p36.13	1p	no	16514203.5	348
